"User_Scenario","Legal_Category"
"Ugh, this auto-wala behind me just won't stop honking, even when there's no space to move. So irritating!","Traffic_Harassment"
"Some chhapri on a bike just zoomed past, almost scraped my car, aur phir gave me a bad look","Traffic_Harassment"
"Dude, this cab driver kept tailgating me like crazy on the highway, flashing his lights non-stop. I got so scared","Traffic_Harassment"
"I was just crossing the road, and a big SUV guy started honking *loudly* at me, like I should vanish or something","Traffic_Harassment"
"Near the market, a few boys on scooters passed comments at me while I was waiting at the signal. Felt so creepy","Traffic_Harassment"
"This bus driver just purposefully cut me off at the roundabout, pura blocking my way, then grinned","Traffic_Harassment"
"My scooter was going slow up the flyover, and a car behind me kept blaring its horn, then overtook super dangerously","Traffic_Harassment"
"Some random guy in a car rolled down his window and yelled ""Aye, jaldi chala!"" at me for no reason","Traffic_Harassment"
"I swear, sometimes it feels like they target women drivers. This guy kept flashing his lights and making rude gestures","Traffic_Harassment"
"This biker tried to race me on my activa, then swerved real close, like he wanted to knock me off","Traffic_Harassment"
"While walking home, a bunch of bike riders circled around me for a bit, laughing, until I yelled","Traffic_Harassment"
"A tempo driver literally blocked the entire lane just to intimidate me into moving faster, even if there's traffic","Traffic_Harassment"
"I was just parked, and some dude started banging on my window, asking me to move, even though I was in a proper spot","Traffic_Harassment"
"My cycle got nearly hit by a car, and when I looked, the driver just made a disgusting gesture at me","Traffic_Harassment"
"This guy kept following my car too close at night, I could see his headlights right in my rear view, it was unnerving","Traffic_Harassment"
"At the red light, a group of guys on a motorbike kept staring and passing loud comments. Made me so uncomfortable","Traffic_Harassment"
"I stopped at a zebra crossing for a senior citizen, and the guy behind me started honking like crazy, shouting to move","Traffic_Harassment"
"This one time, a car driver purposefully drove through a puddle to splash water all over me when I was on my bike","Traffic_Harassment"
"Some biker tried to block my way while I was trying to turn, then abused me when I didn't move fast enough","Traffic_Harassment"
"This auto-wala kept flashing his high beam right into my eyes for like five minutes straight, completely blinding me","Traffic_Harassment"
"Landlord just told us to vacate next month, no reason given, and our agreement is still on for 6 more months","Tenant_Rights"
"My owner just hiked the rent by 20% suddenly, saying take it or leave it. This is too much, yaar","Tenant_Rights"
"They're refusing to give back my security deposit, saying the house needs painting, but it was like this only when I moved in!","Tenant_Rights"
"My landlord keeps walking into my flat whenever he wants, without even asking first. It's so invasive","Tenant_Rights"
"There's a huge leak in the bathroom, I told him like five times, but he just ignores it","Tenant_Rights"
"They cut off our water supply for two days straight because we argued about the parking. Can they even do that?","Tenant_Rights"
"My landlord's son comes late at night to bang on my door, saying I make too much noise, but I am just watching TV","Tenant_Rights"
"I am a bachelor, and they said I can't have any friends over after 9 pm. This feels so unfair","Tenant_Rights"
"We don't even have a proper written agreement, just a verbal one, and now he's denying everything","Tenant_Rights"
"He's asking me to leave immediately because he found a new tenant ready to pay more, my lease isn't even over","Tenant_Rights"
"The electricity bill he gives us is always so high, feels like he's charging for the whole building, not just my usage","Tenant_Rights"
"I asked for a rent receipt, but he always says he'll give it later, and never does. How will I show proof?","Tenant_Rights"
"He charged me extra for ""maintenance"" which he never does, on top of the actual rent","Tenant_Rights"
"My AC stopped working like a month ago, and he just keeps saying ""will send someone tomorrow"" every single day","Tenant_Rights"
"He threatened to throw my stuff out if I don't pay the hiked rent by next week. I'm scared","Tenant_Rights"
"The plumbing is all messed up, toilet keeps overflowing, but the owner says it's my problem to fix","Tenant_Rights"
"I heard he's selling the flat, and now he wants me out in like 15 days, where will I go so fast?","Tenant_Rights"
"My sister came to visit and stayed for two days, and he started shouting at me saying ""no guests allowed","Tenant_Rights"
"He told me I can't cook non-veg in *my* kitchen. Is that even allowed for him to say?","Tenant_Rights"
"The lift has been broken for ages, and he refuses to fix it, says it's not his headache. I live on the 8th floor!","Tenant_Rights"
"Yaar, my bank sent a message saying my account will be blocked if I don't update KYC, clicked the link and poof, all my money gone from savings","Cybercrime_Financial_Fraud"
"I got a call from someone pretending to be from SBI, said I won a lottery and needed to pay processing fees, now my account is empty","Cybercrime_Financial_Fraud"
"Somebody sent me a UPI request for ₹5000 saying they'll send ₹10000 back, I approved it thinking it was some offer, big mistake","Cybercrime_Financial_Fraud"
"I was looking for a WFH job, applied online, they asked for a security deposit, paid it and now their number is switched off","Cybercrime_Financial_Fraud"
"Ordered a mobile from a new website 'cause it was cheap, paid advance, never got the phone, website vanished","Cybercrime_Financial_Fraud"
"My electricity bill was pending, got an SMS, clicked the link to pay, next thing I know, my entire bank balance is wiped out","Cybercrime_Financial_Fraud"
"A guy on Facebook Marketplace said he wanted to buy my sofa, sent me a QR code to 'receive' money, scanned it and my wallet got debited instead","Cybercrime_Financial_Fraud"
"My aunt's WhatsApp got hacked, then ""she"" messaged me saying she needed money urgently for hospital, transferred it and later found out it wasn't her","Cybercrime_Financial_Fraud"
"Got a message from ""Income Tax Department"" asking me to click a link to claim a refund, ended up losing money from my account","Cybercrime_Financial_Fraud"
"Some online loan company promised me a quick loan, but first I had to pay a ""processing fee"" and ""GST,"" paid ₹10,000 and then they blocked me","Cybercrime_Financial_Fraud"
"I downloaded an app for customer care for my credit card, they asked me to install AnyDesk, and then took all my card details and money","Cybercrime_Financial_Fraud"
"Saw an ad for amazing returns on crypto investment, put in 50k rupees, now the app is gone and so is my money","Cybercrime_Financial_Fraud"
"Someone called me pretending to be from SEBI, said my investments were not KYC compliant and I needed to transfer money to a ""holding account","Cybercrime_Financial_Fraud"
"I got a message on Telegram saying I can earn by liking YouTube videos, started with a small investment, put more, and now cannot withdraw my earnings","Cybercrime_Financial_Fraud"
"My phone network suddenly went off for hours, later realized it was a SIM swap, and all my banking apps were emptied","Cybercrime_Financial_Fraud"
"Wanted to rent a flat, paid an advance of ₹15,000 to the ""landlord"" I found on a portal, but the flat address was fake and he disappeared","Cybercrime_Financial_Fraud"
"They called me saying my Demat account needed an update, got me to share OTPs, now shares are bought/sold without my knowledge","Cybercrime_Financial_Fraud"
"I clicked on a pop-up ad for free gifts, asked for my bank details for shipping, and my account was drained","Cybercrime_Financial_Fraud"
"Received a call saying I won a luxury car but needed to pay customs duty online, paid a hefty sum, and then no one answered","Cybercrime_Financial_Fraud"
"Got a fake customer service number for an e-commerce site, they asked for my card details to ""process refund,"" and then my money was gone","Cybercrime_Financial_Fraud"
"Yaar, this guy from my college is always commenting dirty things on my Instagram posts, can't even block him fully","Cybercrime_Harassment"
"My phone number and home address got leaked in some WhatsApp group, now everyone calling me","Cybercrime_Harassment"
"My ex is threatening to share my private pictures online if I don't talk to him again, I'm so scared","Cybercrime_Harassment"
"Someone made a fake Facebook profile with my photos and is sending friend requests to my family members","Cybercrime_Harassment"
"I told this boy to stop messaging me but he keeps finding new ways, even making new accounts to talk to me, it's very creepy","Cybercrime_Harassment"
"Some unknown person messaged me saying they have my video and will post it if I don't pay them money fast","Cybercrime_Harassment"
"My neighbors are spreading really bad lies about me on our building's WhatsApp group, everyone is looking at me weird","Cybercrime_Harassment"
"Every day I get these gross messages and pictures from random numbers, I didn't even ask for them","Cybercrime_Harassment"
"That anonymous account said they know where I live and will come teach me a lesson, I'm literally shaking","Cybercrime_Harassment"
"After I put my item for sale online, I'm getting calls non-stop from unknown people, some even abusing me","Cybercrime_Harassment"
"My ex-boyfriend is blackmailing me, saying he will tell everyone my secrets if I don't do what he wants, through messages","Cybercrime_Harassment"
"My private chats with a friend got shared in a big family group without my permission, everyone is judging me now","Cybercrime_Harassment"
"Someone in my colony group is saying I stole money from society fund, which is completely false and very embarrassing","Cybercrime_Harassment"
"A new page came up on Facebook, it has my picture and says very bad things about me, it's a hate page","Cybercrime_Harassment"
"This person keeps going to my old photos from years ago and writing really mean things on them, just to harass me","Cybercrime_Harassment"
"My photo is being used in some meme pages without my permission, and people making fun, it's not right","Cybercrime_Harassment"
"My professional Instagram account keeps getting reported for no reason, I think someone doing it intentionally to shut me down","Cybercrime_Harassment"
"My ex somehow got into my email and changed my social media passwords, now I can't access my own accounts","Cybercrime_Harassment"
"My colleague always tagging me in some embarrassing photos or jokes on social media, even after I asked them to stop","Cybercrime_Harassment"
"Someone I met online is threatening to tell my parents about something personal if I don't keep quiet","Cybercrime_Harassment"
"My new washing machine broke down in three months, and the service center is just giving me the runaround, saying parts not available","Consumer_Protection"
"Booked a train ticket online, they charged me extra convenience fee which was not shown clearly at start, pure loot","Consumer_Protection"
"Bought a new smartphone from Flipkart, came with a cracked screen, now they saying it's my fault, won't replace","Consumer_Protection"
"The local kirana shop sold me expired biscuits, my kid got stomach ache, they just laughed when I went back","Consumer_Protection"
"My internet connection is super slow for past week, called customer care like ten times, still no fix, but bill will come on time for sure","Consumer_Protection"
"Paid advance for an AC repair, the guy never came back and now his phone is switched off. My money gone","Consumer_Protection"
"That coaching institute promised 100% placement, my brother joined, now they saying it was only for 'top' students, what a scam","Consumer_Protection"
"Went to that new restaurant, they added a 'service charge' without asking, is this even legal? Total chori","Consumer_Protection"
"Bought these branded shoes from a street vendor, thought it was a good deal, but they ripped in a week, definitely fake","Consumer_Protection"
"The builder promised possession in 2022, now it's 2024 and still no sign, my EMIs going for nothing","Consumer_Protection"
"My mobile company keeps sending me promotional SMS even after I registered for DND, so irritating, can't they stop?","Consumer_Protection"
"Ordered food from Swiggy, half the order was missing, restaurant says talk to Swiggy, Swiggy says talk to restaurant. Who is responsible?","Consumer_Protection"
"My car's engine light came on just two days after servicing from the authorised center, they charging me again for same problem","Consumer_Protection"
"The shopkeeper at Big Bazaar refused to take back a dress because I tore the tag, but it was already torn a little when I bought it, pakka!","Consumer_Protection"
"I saw an ad for a huge discount on a fridge, went to the store, and they said 'offer expired', but the ad was still running online yesterday","Consumer_Protection"
"Electricity bill came ridiculously high this month, checked meter myself, it's not matching at all, feeling cheated","Consumer_Protection"
"My bank debited money twice for one online transaction, trying to get it back is a nightmare, they just pass the buck","Consumer_Protection"
"Got an eye check-up, the optician strongly pushed for specific expensive frames saying only those fit, felt forced to buy","Consumer_Protection"
"Bought some packaged snacks, found a dead insect inside! So disgusting, the company helpline is useless","Consumer_Protection"
"Hired a moving company, they damaged half my furniture during transit, now saying they're not liable for fragile items, what nonsense","Consumer_Protection"
"My boss just fired me, no reason, after 10 years! How will I feed my kids now?","Employment_Dispute"
"They haven't paid my salary for three months, saying ""company loss."" What do I do?","Employment_Dispute"
"That supervisor keeps touching me inappropriately, I told HR but nothing happened. I'm scared to go to work","Employment_Dispute"
"They promised me a full-time job but made me work like a daily wager, no benefits, nothing","Employment_Dispute"
"My company took my original certificates and won't give them back until I pay some ""bond money","Employment_Dispute"
"They made me work 12 hours shifts, seven days a week, no overtime, for peanuts. My body is broken","Employment_Dispute"
"I asked for maternity leave, and they just sacked me, saying my position is ""redundant","Employment_Dispute"
"My manager always gives me the worst tasks because I'm from a lower caste, I feel so insulted","Employment_Dispute"
"After my accident at the factory, they didn't even cover my medical bills, just told me to go home","Employment_Dispute"
"I resigned properly, gave notice, but they are not giving my full and final settlement, PF also stuck","Employment_Dispute"
"My new boss is constantly yelling at me, calling me names, making me cry almost everyday","Employment_Dispute"
"They hired a junior guy and gave him my promotion, even though I had more experience and seniority","Employment_Dispute"
"Company told me ""no work from home"" even for my mother's critical surgery, then fired me for taking leave","Employment_Dispute"
"My contract says one thing, but they changed my role and salary without telling me, just forced it","Employment_Dispute"
"This factory has no safety gear, many people got injured, but management doesn't care","Employment_Dispute"
"My employer is deducting money from my salary every month for ""damages"" I didn't cause","Employment_Dispute"
"I reported sexual harassment, and now my colleagues are isolating me, and management is sidelining me","Employment_Dispute"
"They forced me to sign a resignation letter, saying if I don't, they'll make sure I never get another job","Employment_Dispute"
"My Provident Fund money is not getting deposited by my company, it's been months","Employment_Dispute"
"I worked overtime many times, but they refuse to pay me for it, saying it's ""part of the job","Employment_Dispute"
"My padosi just extended his wall into my compound, saying ""ye toh meri hi jagah hai"" and I don't know what to do","Property_Dispute"
"My elder brother wants to sell our ancestral home without my consent, saying he needs the money urgently","Property_Dispute"
"The builder promised possession two years back but still giving excuses, my EMI is running and rent too","Property_Dispute"
"Our tenant is refusing to vacate the flat even after notice, stopped paying rent also","Property_Dispute"
"Some distant relative showed up with old papers claiming my plot, which we've owned for generations","Property_Dispute"
"My sisters are fighting over my mother's jewellery and the small apartment, it's become a daily drama","Property_Dispute"
"My uncle suddenly blocked the path we always used to get to our fields, says it's his private land now","Property_Dispute"
"The new neighbour built a huge structure that's blocking all the sunlight to my house, totally illegal","Property_Dispute"
"I sold my shop but the buyer only paid half advance, now not completing payment and also won't move in or out","Property_Dispute"
"My father passed away without a proper will, and now my brothers are disputing the division of our family farm","Property_Dispute"
"Some local goons are trying to occupy my empty land, even started putting up a small shack there","Property_Dispute"
"My son took a loan using my property papers without telling me, now the bank is sending notices","Property_Dispute"
"The society committee just decided to take a chunk of our common garden for extra parking, without proper voting","Property_Dispute"
"My cousin forged my signature on a land document, trying to transfer my share to his name","Property_Dispute"
"The municipal corporation sent a notice to demolish part of my house for road widening, but offered very less compensation","Property_Dispute"
"My brother-in-law, who was renting our other flat, is now claiming adverse possession, saying he's lived there too long","Property_Dispute"
"My dad gifted me this plot but now my other siblings are saying the gift deed is not valid","Property_Dispute"
"My neighbour's drainage pipe is leaking directly onto my boundary wall, causing dampness, but he just ignores me","Property_Dispute"
"Someone is trying to sell my property using a fake power of attorney, my mind is very disturbed by this","Property_Dispute"
"My sister is not allowing me to cultivate my share of the ancestral land, she's using it all for herself","Property_Dispute"
"My neighbour plays bhajan very loud from 5 AM everyday, my kids can't even sleep properly","Public_Nuisance"
"Yaar, that construction site next to my flat, they make so much noise all day, drilling drilling, head is throbbing","Public_Nuisance"
"Every evening, these street vendors with their loudspeakers scream offers right outside my window, it's too much","Public_Nuisance"
"Our whole lane smells like kachra because the corporation doesn't pick up the garbage for days, it's so bad","Public_Nuisance"
"The open gutter near our society gate is always overflowing, the ganda paani brings so many diseases","Public_Nuisance"
"These hawkers have taken over the entire footpath, where will old people like me walk, we have to go on the road","Public_Nuisance"
"People just park their cars wherever they want, blocking our main gate, sometimes I can't even take my scooter out for urgent work","Public_Nuisance"
"Someone is always burning plastic or leaves near the park entrance, the whole area gets filled with smoke, can't breathe","Public_Nuisance"
"This new flyover work makes so much dust, my house is always covered in a thick layer, even inside the windows","Public_Nuisance"
"There's a big, open manhole right near the school gate, it's been like that for weeks, a small child could easily fall in","Public_Nuisance"
"Stray dogs keep fighting and barking all night near my building, and sometimes they chase my kids when they go to play","Public_Nuisance"
"That vacant plot behind our house has stagnant water, full of mosquitoes, my family is worried about dengue","Public_Nuisance"
"Every night, some drunk men sit near the public tap, making loud noise and bad words, my wife feels unsafe going there","Public_Nuisance"
"The textile factory behind our colony, their machines run 24 hours, the constant humming sound gives me headache","Public_Nuisance"
"For every small festival, they block the whole main road with pandals and stage, traffic gets stuck for hours, people miss work","Public_Nuisance"
"These guys keep their cows and buffaloes on the street, all the dung and urine is just lying there, full of flies and smell","Public_Nuisance"
"That roadside food stall near the bus stand uses such dirty water, people who eat there are sure to get sick","Public_Nuisance"
"Our neighbour's generator runs for hours during power cut, makes such a loud rattling sound, I can't even hear my TV","Public_Nuisance"
"After the building repairs, they left all the broken bricks and cement on the footpath, it's so difficult for elderly people to cross","Public_Nuisance"
"That under-construction apartment building has no boundary wall, kids from the slum sometimes go in there to play, very dangerous, anything can fall on them","Public_Nuisance"
"Yaar, I was just walking near the station, and one guy on a bike just snatched my phone right out of my hand! My new OnePlus, gone","Theft"
"Bhaiya, my wallet was in my back pocket, I swear! I was in the crowded market near Lajpat Nagar, must have been pickpocketed. All my cash and ID cards gone","Theft"
"Meri gold chain! I was coming back from temple, suddenly two boys on scooter pulled it so hard, my neck still paining. They just zoomed off","Theft"
"We went for a wedding for two days, came back, and the front door was broken. All the jewellery from the locker, and some cash, everything missing. My mother is crying","Theft"
"My new Hero Honda Splendor, I parked it outside my shop just for half an hour. Came back, it's not there. Someone stole it, I don't know what to do now","Theft"
"Laptop bag, I kept it on the seat for a minute in the auto, just to pay the driver. When I looked inside, it's empty. My new work laptop, all my important data!","Theft"
"My gas cylinder from outside the house. Every day it's there, but today morning it's just gone. How will I cook food now?","Theft"
"My old cycle, I left it unlocked for a minute near the chai shop. Just came back, poof, gone. It was my only way to commute","Theft"
"Last night, someone broke into our farm and took all the harvested onions. So much hard work, all gone waste. How will we recover the loss?","Theft"
"My purse, I kept it on the table in the office for a second, just went to the washroom. Came back, 2000 rupees from inside it are missing. I suspect that new cleaner boy","Theft"
"My clothes drying on the line, my new kurta set for Diwali. Someone just came and took it in the night. This is not fair, yaar","Theft"
"Meri watch, the one my dad gifted me. I put it on the side table in the hostel room and went for a bath. Came back, it's not there. Roommate says he didn't see anything","Theft"
"My son's school bag. He kept it outside the classroom for a minute, just to go to the washroom. When he came back, the bag, his books, everything gone. He is so upset","Theft"
"My iPhone charger and adapter, original one. I lent it to my colleague yesterday, and today she says she can't find it. I know she stole it, or someone from her desk did","Theft"
"Our community water motor. It was installed just last month. Yesterday morning, we found it completely dismantled and taken away from the well. Now no water for anyone","Theft"
"My delivery package from Amazon. It was showing 'delivered' yesterday, but I never received it. Checked with neighbours, no one saw it. Someone must have picked it up from my doorstep","Theft"
"My brand new shoes! I kept them outside the temple while I went inside for darshan. Came out, and they were gone. How can people steal from a temple, yaar?","Theft"
"My helper, the one I trusted so much, she just ran away with my small diamond earrings. I gave her keys to clean the bedroom. Now she's untraceable","Theft"
"Construction materials from our site. We ordered cement bags and steel rods. Overnight, half of it disappeared. The guard was sleeping, I think","Theft"
"My electricity meter. Someone climbed up and took it right off the wall last night. Now we have no power. What kind of people do this?","Theft"
"Traffic police stopped me even though I was not overspeeding at all, took my bike keys and refused to return them unless I paid cash on the spot","Traffic_Harassment"
"The cop snatched my vehicle keys without giving any reason, just said pay up or walk home, it was clearly a bribe demand","Traffic_Harassment"
"I was riding perfectly fine, helmet on, all papers ready, but the traffic officer still seized my keys and asked for money to let me go","Traffic_Harassment"
"Police stopped my scooter for no valid reason, confiscated the keys and said come to the station if you want them back, it felt like harassment","Traffic_Harassment"
"The traffic hawaldar took away my bike keys when I was not doing anything wrong, he just wanted a bribe, this is police misconduct","Traffic_Harassment"
"I was not breaking any traffic rule but a cop stopped me, grabbed my keys and threatened to tow the vehicle unless I paid him directly","Traffic_Harassment"
"Officer stopped me falsely claiming I jumped a signal, took my keys on the spot, would not give a proper challan, just demanded cash","Traffic_Harassment"
"Traffic police illegally detained my vehicle keys even after I showed all valid documents, they refused to issue a proper receipt","Traffic_Harassment"
"A traffic cop stopped me without reason at night, took my bike keys and said pay 500 rupees or your bike stays here, this is extortion","Traffic_Harassment"
"The constable seized my two-wheeler keys for allegedly not wearing a helmet but I had my helmet on, this was clearly wrongful stoppage","Traffic_Harassment"
"Police took my car keys at a checkpost and would not give them back, said there is a fine but would not show me any official challan","Traffic_Harassment"
"Traffic inspector stopped my auto and took the keys, saying papers are wrong, but everything was in order, I think he wanted money to let me go","Traffic_Harassment"
"An officer stopped me on the highway, took my vehicle keys without any explanation and started demanding cash, no challan was issued at all","Traffic_Harassment"
"I was not over speeding or breaking any rule, still a traffic policeman stopped me forcefully and took away my bike keys, refused to give back","Traffic_Harassment"
"The traffic cop said my insurance is expired, it was not, took my keys anyway and told me to go to the thana if I had a problem, total harassment","Traffic_Harassment"
