User_Scenario,Legal_Category
"A traffic cop stopped me for not having a pollution certificate and snatched my bike keys.","Traffic_Harassment"
"The police officer is asking for a 500 rupee bribe to let me go without a challan.","Traffic_Harassment"
"I jumped a red light by mistake and the cop started abusing me verbally.","Traffic_Harassment"
"Traffic police towed my car while I was sitting inside it!","Traffic_Harassment"
"They stopped my scooty and forced me to pay fine in cash without giving a receipt.","Traffic_Harassment"
"My landlord locked me out of my apartment because I was two days late on rent.","Tenant_Rights"
"The owner is refusing to return my 50k security deposit even though I gave proper notice.","Tenant_Rights"
"Landlord cut off my electricity and water supply to force me to vacate the flat.","Tenant_Rights"
"My building owner enters my rented room without my permission when I am at work.","Tenant_Rights"
"The landlord is suddenly increasing the rent by 30 percent in the middle of my lease.","Tenant_Rights"
"I got a call saying my SIM will be blocked, I shared an OTP, and 10k was deducted from my bank.","Cybercrime_Financial_Fraud"
"I paid for a laptop on an Instagram page, but they blocked me and never sent the product.","Cybercrime_Financial_Fraud"
"Someone sent me a link on WhatsApp claiming I won a lottery, clicked it, and my phone got hacked.","Cybercrime_Financial_Fraud"
"A fake customer care guy asked me to download Anydesk app and stole money from my Paytm.","Cybercrime_Financial_Fraud"
"I invested money in a crypto trading app that my friend suggested, now the app is deleted.","Cybercrime_Financial_Fraud"
"My ex-boyfriend is threatening to leak my private photos on Facebook if I don't meet him.","Cybercrime_Harassment"
"Someone made a fake Instagram profile using my pictures and is messaging my family.","Cybercrime_Harassment"
"I am getting abusive messages and rape threats from unknown numbers on WhatsApp.","Cybercrime_Harassment"
"A guy is continuously stalking my location and commenting weird things on all my posts.","Cybercrime_Harassment"
"Someone morphed my face onto an obscene video and is blackmailing me for money.","Cybercrime_Harassment"
"I bought a fridge from a showroom, it stopped working in 2 days, and they refuse to replace it.","Consumer_Protection"
"Swiggy delivered rotten food with bugs in it and customer care closed my chat without refund.","Consumer_Protection"
"The gym took a yearly membership fee of 15k from me and closed down permanently the next week.","Consumer_Protection"
"I was charged more than the MRP printed on the water bottle at the movie theatre.","Consumer_Protection"
"An online store sent me a fake duplicate pair of Nike shoes instead of original ones.","Consumer_Protection"
"My boss fired me without any notice period and is refusing to pay my last month's salary.","Employment_Dispute"
"I am being forced to work 14 hours a day without any overtime pay at my IT job.","Employment_Dispute"
"My manager constantly uses abusive language and humiliates me in front of the whole team.","Employment_Dispute"
"The company is not releasing my experience letter or relieving letter so I can't join my new job.","Employment_Dispute"
"They promised me health insurance in the offer letter but are now deducting it from my basic pay.","Employment_Dispute"
"My neighbour has started building a wall that encroaches 2 feet into my land.","Property_Dispute"
"My uncle forged my grandfather's signature to transfer the ancestral farmland to his name.","Property_Dispute"
"The builder promised possession of my flat in 2022, it's 2024 and construction is still paused.","Property_Dispute"
"Someone has parked their broken down truck right in front of my house gate and won't move it.","Public_Nuisance"
"The neighbors play extremely loud DJ music every night till 3 AM and I can't sleep.","Public_Nuisance"
"A street dog bit me and the guy who feeds it is fighting with me instead of helping.","Public_Nuisance"
"A guy on a black Pulsar snatched my gold chain while I was walking in the market.","Theft"
"My iPhone was stolen from my backpack while I was traveling on the crowded metro.","Theft"
"Someone broke the window of my parked car and stole my laptop bag.","Theft"
"My maid stole cash from my cupboard when I went out to buy groceries.","Theft"